"Motif","Offre","Opération","Type OT","Région","Unité Traitante","Date Etat OT"
"Cable Volé","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","22/07/25 18:30"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","18/09/25 13:19"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","28/03/25 11:11"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","17/07/25 18:49"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","26/09/25 13:40"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","21/09/25 13:14"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","27/10/25 08:51"
"Cable Volé","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","06/08/25 12:55"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","12/06/25 17:50"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","14/07/25 13:04"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","28/04/25 10:40"
"Cable Volé","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","15/07/25 18:11"
"Cable Volé","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","07/08/25 15:19"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","18/09/25 15:35"
"Cable Volé","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/04/25 11:56"
"Cable Volé","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","22/05/25 07:29"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","26/05/25 14:10"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","26/07/25 18:40"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","26/07/25 18:36"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","01/04/25 14:33"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","11/07/25 15:45"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","02/06/25 16:42"
"Cable Volé","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","01/04/25 14:31"
"Cable Volé","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","09/07/25 08:51"
"Manque équipement","ADSL | BKP","Nouvelle Installation DATA","Raccordement","SOUSSE","ULS SOUSSE","23/07/25 08:57"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","05/02/25 13:40"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","15/05/25 14:21"
